Image Name,Payload (Bytes),Capacity (bpp),MSE,PSNR (dB)
baboon_color.png,1500,0.3,3.442958354949951,42.76148591234633
baboon_color.png,3000,0.6,6.254558563232422,40.168836975686915
baboon_color.png,6000,1.2,11.662958145141602,37.46271643791906
baboon_color.png,10500,2.1,17.926240921020508,35.59591132009353
jet_color.png,1500,0.3,3.009974956512451,43.345174786606776
jet_color.png,3000,0.6,3.9967501163482666,42.11373364592674
jet_color.png,6000,1.2,7.959533214569092,39.1219276150726
jet_color.png,10500,2.1,15.60599136352539,36.19788998630205
peppers_color.png,1500,0.3,3.427500009536743,42.78102896197971
peppers_color.png,3000,0.6,5.699999809265137,40.57205519727893
peppers_color.png,6000,1.2,11.506924629211426,37.52121092409932
peppers_color.png,10500,2.1,17.84273338317871,35.61618974824467
